model,num_correct,avg_eps,avg_l2,avg_linf,avg_lpips,avg_spearman
volo_d5_512,908,0.09389235682819382,46.869415,0.09389237,0.0,0.0047061031894031335
cait_xxs24_384,797,0.07233464240903388,27.08758,0.07229406,0.0,-0.0016265959162646898
deit3_small_patch16_384_in21ft1k,841,0.09987908442330559,36.44772,0.0998791,0.0,0.005889758925786328
xcit_small_24_p8_384_dist,884,0.16114630090497736,55.578247,0.1607868,0.0,0.01915309151733894
deit_base_distilled_patch16_384,902,0.04650280487804879,20.359453,0.046502817,0.0,0.005979629079001236
eca_nfnet_l2,870,0.13236103448275863,27.196135,0.13236105,0.0,0.0038389295450694653
cait_xxs36_384,816,0.09337987745098039,33.836956,0.093344554,0.0,0.007512229737142159
deit_base_patch16_384,872,0.0898194495412844,33.52685,0.08981946,0.0,0.004538848809674841
nfnet_l0,893,0.07791472564389697,17.212057,0.077914745,0.0,0.01171291013959854
xcit_small_24_p16_384_dist,892,0.14853785874439462,52.432804,0.14845023,0.0,0.01845738972077534
xcit_tiny_12_p8_384_dist,816,0.0814252205882353,31.003683,0.081425235,0.0,0.008886417380719255
xcit_tiny_12_p16_384_dist,810,0.05987428395061729,22.90813,0.0598743,0.0,0.02285218003104903
xcit_tiny_24_p8_384_dist,851,0.11715721504112807,41.71159,0.117043376,0.0,0.015384663606206881
xcit_tiny_24_p16_384_dist,842,0.07898660332541568,29.496128,0.078986615,0.0,0.02130777650440988
